
[Gradient Statistics for Epoch 1]
xlstm.layers.1.slstm.layer_norm.bias     | mean:  2.04477e+01 | std:  3.31929e+01 | min: -6.71676e+01 | max:  1.59805e+02
xlstm.layers.1.slstm.causal_conv.conv.weight | mean:  4.16595e+02 | std:  4.01484e+02 | min: -1.14750e+02 | max:  1.32900e+03
xlstm.layers.1.slstm.causal_conv.conv.bias | mean: -7.56938e+02 | std:  6.12065e+02 | min: -1.93500e+03 | max: -4.83125e+01
xlstm.layers.1.slstm.Wz.block.weight     | mean: -3.45350e-01 | std:  4.95316e+01 | min: -3.17250e+02 | max:  3.87000e+02
xlstm.layers.1.slstm.Wz.block.bias       | mean:  3.10905e+01 | std:  4.33375e+02 | min: -1.31100e+03 | max:  1.30800e+03
xlstm.layers.1.slstm.Wi.block.weight     | mean: -4.12015e+00 | std:  1.52219e+01 | min: -1.46000e+02 | max:  9.74375e+01
xlstm.layers.1.slstm.Wi.block.bias       | mean: -3.32297e+01 | std:  4.59437e+01 | min: -2.57500e+02 | max:  1.13375e+02
xlstm.layers.1.slstm.Wf.block.weight     | mean: -4.09783e+00 | std:  1.74645e+01 | min: -2.41250e+02 | max:  8.75625e+01
xlstm.layers.1.slstm.Wf.block.bias       | mean: -3.41471e+01 | std:  5.23602e+01 | min: -2.48375e+02 | max:  9.21250e+01
xlstm.layers.1.slstm.Wo.block.weight     | mean:  1.11817e-01 | std:  5.45118e+00 | min: -4.24062e+01 | max:  7.38125e+01
xlstm.layers.1.slstm.Wo.block.bias       | mean: -4.74945e+01 | std:  6.34035e+01 | min: -3.93000e+02 | max:  1.23312e+02
xlstm.layers.1.slstm.Rz.block.weight     | mean: -3.06116e-01 | std:  4.93559e+01 | min: -3.50500e+02 | max:  4.06000e+02
xlstm.layers.1.slstm.Rz.block.bias       | mean:  3.10905e+01 | std:  4.33375e+02 | min: -1.31100e+03 | max:  1.30800e+03
xlstm.layers.1.slstm.Ri.block.weight     | mean:  8.38800e-02 | std:  3.77602e+00 | min: -2.59531e+01 | max:  3.77188e+01
xlstm.layers.1.slstm.Ri.block.bias       | mean: -3.32297e+01 | std:  4.59437e+01 | min: -2.57500e+02 | max:  1.13375e+02
xlstm.layers.1.slstm.Rf.block.weight     | mean:  1.18385e-01 | std:  4.44142e+00 | min: -3.80625e+01 | max:  6.87500e+01
xlstm.layers.1.slstm.Rf.block.bias       | mean: -3.41471e+01 | std:  5.23602e+01 | min: -2.48375e+02 | max:  9.21250e+01
